Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Vehicle Number,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
430266,433741,2,1240,6,1,1,1,2,11,2,3,2,30
430241,437021,2,1305,6,2,1,1,1,9,1,3,1,74
430241,437021,2,1305,6,2,1,1,2,9,2,3,2,23
440388,433288,1,1423,6,1,1,1,1,9,3,1,2,70
429224,439710,2,1630,6,1,1,1,2,9,1,3,2,51
427536,434491,2,1901,6,2,4,1,1,1,1,1,1,46
429958,432509,2,2256,6,1,4,1,1,9,1,3,1,24
420465,440180,2,630,3,2,4,1,1,9,1,3,2,28
420465,440180,2,630,3,2,4,1,2,8,1,3,1,38
426361,433366,2,658,6,2,4,1,1,9,1,3,1,44
426361,433366,2,658,6,2,4,1,2,9,1,3,2,34
426361,433366,2,658,6,2,4,1,2,9,2,3,1,12
426361,433366,2,658,6,2,4,1,2,9,2,3,2,8
426361,433366,2,658,6,2,4,1,2,9,2,3,2,5
428963,435460,2,2320,3,1,4,1,2,9,1,3,2,56
431536,430548,3,1707,1,2,4,1,1,9,1,3,2,22
431536,430548,3,1707,1,2,4,1,2,9,1,3,1,25
427399,433352,1,1831,6,2,4,2,1,9,3,3,2,10
429600,434248,1,733,6,1,6,1,1,9,3,3,2,51
426992,437455,2,751,3,2,1,1,2,1,1,3,2,31
422310,443627,2,855,6,1,1,1,1,9,1,2,2,28
436590,433969,2,1215,6,1,1,1,2,9,1,3,1,48
436590,433969,2,1215,6,1,1,1,2,9,2,3,2,46
424562,435641,2,1350,6,2,1,1,2,1,1,3,1,17
426347,427606,2,1415,6,1,1,1,2,1,1,3,1,60
430743,434737,2,1440,6,1,1,1,1,1,1,2,1,33
431726,432862,2,1810,6,1,4,1,2,9,1,3,1,45
429774,430608,3,1832,3,2,4,1,2,9,1,3,1,45
429774,430608,3,1832,3,2,4,1,3,9,1,3,2,21
428523,432066,3,1950,3,2,4,1,3,9,1,3,2,24
430351,438561,2,2105,3,1,5,1,2,9,1,3,2,54
430319,433871,2,450,6,1,4,1,2,9,1,3,1,47
431103,434602,2,525,6,2,4,1,1,9,1,3,1,30
431103,434602,2,525,6,2,4,1,1,9,2,3,1,33
431103,434602,2,525,6,2,4,1,1,9,2,3,2,32
431103,434602,2,525,6,2,4,1,1,9,2,3,1,30
431103,434602,2,525,6,2,4,1,1,9,2,3,2,32
430101,432870,2,205,6,1,4,1,2,9,1,3,1,47
432458,433330,1,1610,6,1,1,1,1,8,2,3,2,24
431832,434992,2,400,6,1,7,1,1,9,2,3,2,19
431832,434992,2,400,6,1,7,1,1,9,2,3,2,18
429038,429932,2,525,6,2,4,1,2,5,1,2,1,53
433318,441770,2,720,6,4,1,1,1,9,1,3,2,22
426234,438111,2,835,6,1,1,1,1,9,1,3,1,52
426234,438111,2,835,6,1,1,1,2,9,1,3,2,40
431422,434086,1,1015,6,1,1,1,1,9,3,3,1,15
428503,426411,3,1820,1,1,4,1,1,9,1,3,1,36
428503,426411,3,1820,1,1,4,1,2,9,1,3,1,22
428503,426411,3,1820,1,1,4,1,3,9,1,3,1,43
428396,428922,2,1520,3,1,1,1,1,9,1,3,1,47
